Index,Action,TimeStamp,Object,// Reference is Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,recordStart,2021-02-24T11:06:02.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,recordEnd,2021-02-24T11:07:02.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,recordName,5b3f5d2c-9ea0-47a6-aa35-7551cfdaa330.mp4,collectedData,[accData,[accDate,2021-02-24T11:06:02.117,accInterval,0.1,accXyz,[x,-0.062249243,y,-0.18674773,z,9.787796020507812],degree,0,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:43.710,accInterval,41.7,accXyz,[x,-0.031124622,y,-0.229843363,z,10.008062362670898],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:44.015,accInterval,42,accXyz,[x,-0.165199921,y,-0.237025961,z,9.852438926696777],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:44.346,accInterval,42.3,accXyz,[x,-0.069431849,y,-0.18435353,z,9.85962200164795],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:44.611,accInterval,42.6,accXyz,[x,-0.169988319,y,-0.213083953,z,9.783007621765137],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:45.002,accInterval,43,accXyz,[x,-0.117315881,y,-0.20590134,z,9.876380920410156],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:45.270,accInterval,43.3,accXyz,[x,-0.074220255,y,-0.193930343,z,9.931447982788086],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:45.582,accInterval,43.6,accXyz,[x,-0.088585466,y,-0.18674773,z,9.905111312866211],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:45.837,accInterval,43.8,accXyz,[x,-0.1316811,y,-0.215478152,z,9.862015724182129],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:46.114,accInterval,44.1,accXyz,[x,-0.143652096,y,-0.222660765,z,9.771036148071289],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:46.402,accInterval,44.4,accXyz,[x,-0.093373865,y,-0.196324542,z,9.866804122924805],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:46.762,accInterval,44.7,accXyz,[x,0.282515794,y,-0.031124622,z,8.933065414428711],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:47.019,accInterval,45,accXyz,[x,-0.229843363,y,-0.213083953,z,10.187627792358398],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:47.371,accInterval,45.4,accXyz,[x,-0.114921682,y,-0.181959331,z,9.885957717895508],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:47.620,accInterval,45.6,accXyz,[x,-0.088585466,y,-0.193930343,z,9.905111312866211],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:47.977,accInterval,46,accXyz,[x,-0.076614454,y,-0.18435353,z,9.885957717895508],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:48.265,accInterval,46.3,accXyz,[x,0.347159237,y,-0.122104287,z,10.429441452026367],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:48.562,accInterval,46.5,accXyz,[x,-0.1316811,y,-0.129286885,z,9.615413665771484],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:48.811,accInterval,46.8,accXyz,[x,-0.828393817,y,-0.29688102,z,9.627384185791016],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:49.134,accInterval,47.1,accXyz,[x,-0.086191259,y,-0.210689753,z,9.885957717895508],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:49.406,accInterval,47.4,accXyz,[x,-0.107739076,y,-0.18674773,z,9.876380920410156],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:49.788,accInterval,47.8,accXyz,[x,-0.1316811,y,-0.20590134,z,10.094253540039062],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:50.001,accInterval,48,accXyz,[x,-0.071826048,y,-0.18674773,z,9.883563995361328],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:50.367,accInterval,48.4,accXyz,[x,-0.105344877,y,-0.198718742,z,9.866804122924805],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:50.586,accInterval,48.6,accXyz,[x,-0.746990919,y,-0.155623108,z,9.421483039855957],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:50.866,accInterval,48.9,accXyz,[x,-0.117315881,y,-0.20350714,z,9.852438926696777],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:51.237,accInterval,49.2,accXyz,[x,-0.098162271,y,-0.177170932,z,9.852438926696777],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:51.523,accInterval,49.5,accXyz,[x,-0.138863698,y,-0.196324542,z,9.866804122924805],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:51.846,accInterval,49.8,accXyz,[x,-0.095768064,y,-0.18435353,z,9.885957717895508],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:52.033,accInterval,50,accXyz,[x,-0.134075299,y,-0.234631762,z,10.400711059570312],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:52.323,accInterval,50.3,accXyz,[x,-0.076614454,y,-0.210689753,z,10.022427558898926],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:52.584,accInterval,50.6,accXyz,[x,-0.129286885,y,-0.208295554,z,9.919476509094238],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:52.944,accInterval,50.9,accXyz,[x,-0.112527482,y,-0.217872351,z,9.8691987991333],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:53.181,accInterval,51.2,accXyz,[x,-0.105344877,y,-0.20590134,z,9.881169319152832],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:53.534,accInterval,51.5,accXyz,[x,-0.136469498,y,-0.210689753,z,9.862015724182129],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:53.749,accInterval,51.7,accXyz,[x,-0.088585466,y,-0.193930343,z,9.85962200164795],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:54.026,accInterval,52,accXyz,[x,-0.119710088,y,-0.196324542,z,9.902717590332031],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:54.406,accInterval,52.4,accXyz,[x,-0.10295067,y,-0.198718742,z,9.850045204162598],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:54.645,accInterval,52.6,accXyz,[x,-0.126892686,y,-0.210689753,z,9.883563995361328],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:54.882,accInterval,52.9,accXyz,[x,-0.033518825,y,-0.225054964,z,10.060734748840332],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:55.162,accInterval,53.1,accXyz,[x,-0.14844051,y,-0.198718742,z,9.85962200164795],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:55.518,accInterval,53.5,accXyz,[x,-0.143652096,y,-0.524330199,z,11.415852546691895],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:55.762,accInterval,53.7,accXyz,[x,-0.064643443,y,-0.153228909,z,9.730335235595703],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:56.076,accInterval,54.1,accXyz,[x,-0.134075299,y,-0.215478152,z,9.864410400390625],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:56.380,accInterval,54.4,accXyz,[x,-0.117315881,y,-0.237025961,z,10.05115795135498],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:56.703,accInterval,54.7,accXyz,[x,-0.071826048,y,-0.191536129,z,9.864410400390625],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:56.972,accInterval,55,accXyz,[x,-0.177170932,y,-0.208295554,z,9.864410400390625],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:57.293,accInterval,55.3,accXyz,[x,-0.387860686,y,-0.478840351,z,11.482891082763672],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:57.609,accInterval,55.6,accXyz,[x,-0.074220255,y,-0.196324542,z,9.857227325439453],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:57.942,accInterval,55.9,accXyz,[x,-0.129286885,y,-0.193930343,z,9.857227325439453],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:58.170,accInterval,56.2,accXyz,[x,-0.1316811,y,-0.198718742,z,9.852438926696777],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:58.461,accInterval,56.4,accXyz,[x,0.158017308,y,-0.18435353,z,9.952995300292969],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:58.764,accInterval,56.8,accXyz,[x,-0.1316811,y,-0.198718742,z,9.873987197875977],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:59.102,accInterval,57.1,accXyz,[x,-0.402225882,y,-0.624886632,z,11.255441665649414],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:59.442,accInterval,57.4,accXyz,[x,-0.105344877,y,-0.210689753,z,9.866804122924805],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:59.678,accInterval,57.7,accXyz,[x,-0.155623108,y,-0.220266551,z,10.07509994506836],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:59.978,accInterval,58,accXyz,[x,-0.081402861,y,-0.172382519,z,9.87159252166748],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:07:00.310,accInterval,58.3,accXyz,[x,-0.10295067,y,-0.201112941,z,9.878775596618652],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:07:00.682,accInterval,58.7,accXyz,[x,-0.08379706,y,-0.201112941,z,9.873987197875977],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:07:01.096,accInterval,59.1,accXyz,[x,-0.122104287,y,-0.18674773,z,9.8691987991333],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:07:01.302,accInterval,59.3,accXyz,[x,-0.088585466,y,-0.179565132,z,9.87159252166748],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:07:01.531,accInterval,59.5,accXyz,[x,-0.105344877,y,-0.191536129,z,9.864410400390625],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:07:01.791,accInterval,59.8,accXyz,[x,-0.105344877,y,-0.191536129,z,9.864410400390625],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:07:02.185,accInterval,60.2,accXyz,[x,-0.105344877,y,-0.191536129,z,9.864410400390625],degree,0],magData,[magDate,2021-02-24T11:06:02.280,magInterval,0.3,magXyz,[x,-619.2600098,y,-1563.839966,z,-1048.43994140625],degree,0,,,,,,
magDate,2021-02-24T11:06:02.684,magInterval,0.7,magXyz,[x,-618.4199829,y,-1563.059937,z,-1048.1400146484375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:03.101,magInterval,1.1,magXyz,[x,-618.2999878,y,-1562.52002,z,-1048.3800048828125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:03.485,magInterval,1.5,magXyz,[x,-618.539978,y,-1562.579956,z,-1049.280029296875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:03.913,magInterval,1.9,magXyz,[x,-618.1199951,y,-1562.52002,z,-1049.760009765625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:04.297,magInterval,2.3,magXyz,[x,-618.3599854,y,-1563,z,-1048.919921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:04.683,magInterval,2.7,magXyz,[x,-618.0599976,y,-1563.23999,z,-1047.8399658203125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:05.113,magInterval,3.1,magXyz,[x,-618.1199951,y,-1563.359985,z,-1048.02001953125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:05.929,magInterval,3.9,magXyz,[x,-618.9599609,y,-1563.059937,z,-1048.3800048828125],degree,359.9254683,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:06.094,magInterval,4.1,magXyz,[x,-619.4400024,y,-1562.76001,z,-1047.9000244140625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:06.252,magInterval,4.2,magXyz,[x,-619.0199585,y,-1562.339966,z,-1047.5399169921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:06.761,magInterval,4.7,magXyz,[x,-618.4199829,y,-1562.159912,z,-1047.780029296875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:07.123,magInterval,5.1,magXyz,[x,-618.8399658,y,-1562.819946,z,-1047.6600341796875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:07.529,magInterval,5.5,magXyz,[x,-619.3800049,y,-1562.640015,z,-1047.419921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:07.775,magInterval,5.8,magXyz,[x,-619.0199585,y,-1562.52002,z,-1047.5399169921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:08.131,magInterval,6.1,magXyz,[x,-617.8800049,y,-1562.219971,z,-1047.419921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:08.566,magInterval,6.6,magXyz,[x,-617.9400024,y,-1562.159912,z,-1048.43994140625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:08.998,magInterval,7,magXyz,[x,-618.539978,y,-1562.699951,z,-1048.1400146484375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:09.316,magInterval,7.3,magXyz,[x,-618.4199829,y,-1562.279907,z,-1047.5399169921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:09.702,magInterval,7.7,magXyz,[x,-619.0799561,y,-1562.459961,z,-1047.8399658203125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:10.146,magInterval,8.1,magXyz,[x,-619.3200073,y,-1562.52002,z,-1047.9000244140625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:10.522,magInterval,8.5,magXyz,[x,-619.5,y,-1562.640015,z,-1047.8399658203125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:10.942,magInterval,8.9,magXyz,[x,-619.1400146,y,-1562.76001,z,-1047.5399169921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:11.299,magInterval,9.3,magXyz,[x,-618.8999634,y,-1562.279907,z,-1047.419921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:11.680,magInterval,9.7,magXyz,[x,-619.5599976,y,-1562.819946,z,-1047.239990234375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:12.079,magInterval,10.1,magXyz,[x,-619.7399902,y,-1562.400024,z,-1046.93994140625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:12.548,magInterval,10.5,magXyz,[x,-618.9599609,y,-1562.219971,z,-1047.419921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:12.905,magInterval,10.9,magXyz,[x,-618.7799683,y,-1562.880005,z,-1047.8399658203125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:13.281,magInterval,11.3,magXyz,[x,-619.2600098,y,-1563,z,-1047.5999755859375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:13.697,magInterval,11.7,magXyz,[x,-618.7199707,y,-1563.47998,z,-1047.1199951171875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:14.096,magInterval,12.1,magXyz,[x,-618.6599731,y,-1563.299927,z,-1046.93994140625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:14.582,magInterval,12.6,magXyz,[x,-618.8999634,y,-1563.299927,z,-1046.8800048828125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:14.878,magInterval,12.9,magXyz,[x,-619.4400024,y,-1563.179932,z,-1047],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:15.305,magInterval,13.3,magXyz,[x,-618.9599609,y,-1562.459961,z,-1047.419921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:15.686,magInterval,13.7,magXyz,[x,-618.1199951,y,-1562.640015,z,-1047.419921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:16.107,magInterval,14.1,magXyz,[x,-618.5999756,y,-1563.359985,z,-1048.02001953125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:16.478,magInterval,14.5,magXyz,[x,-618.9599609,y,-1563.059937,z,-1048.3800048828125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:16.905,magInterval,14.9,magXyz,[x,-618.2999878,y,-1562.699951,z,-1048.5599365234375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:17.322,magInterval,15.3,magXyz,[x,-618.7199707,y,-1563.299927,z,-1047.9599609375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:17.682,magInterval,15.7,magXyz,[x,-619.9199829,y,-1563.539917,z,-1047.2999267578125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:18.083,magInterval,16.1,magXyz,[x,-619.2000122,y,-1563.47998,z,-1047.8399658203125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:18.515,magInterval,16.5,magXyz,[x,-618.7199707,y,-1563.299927,z,-1047.780029296875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:18.891,magInterval,16.9,magXyz,[x,-619.6199951,y,-1563.119995,z,-1048.02001953125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:19.303,magInterval,17.3,magXyz,[x,-619.7999878,y,-1563.659912,z,-1048.43994140625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:19.756,magInterval,17.7,magXyz,[x,-619.4400024,y,-1563.359985,z,-1048.3800048828125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:20.215,magInterval,18.2,magXyz,[x,-619.5,y,-1562.159912,z,-1047.239990234375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:20.512,magInterval,18.5,magXyz,[x,-619.4400024,y,-1562.400024,z,-1047],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:20.929,magInterval,18.9,magXyz,[x,-619.1400146,y,-1563.119995,z,-1047.2999267578125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:21.390,magInterval,19.4,magXyz,[x,-619.0799561,y,-1562.880005,z,-1046.760009765625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:21.710,magInterval,19.7,magXyz,[x,-619.1400146,y,-1561.859985,z,-1046.8199462890625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:22.170,magInterval,20.2,magXyz,[x,-619.5599976,y,-1562.579956,z,-1046.52001953125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:22.506,magInterval,20.5,magXyz,[x,-618.8399658,y,-1563.119995,z,-1046.6400146484375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:22.905,magInterval,20.9,magXyz,[x,-618.5999756,y,-1562.819946,z,-1047.179931640625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:23.290,magInterval,21.3,magXyz,[x,-618.5999756,y,-1562.640015,z,-1047.419921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:23.705,magInterval,21.7,magXyz,[x,-618.4199829,y,-1562.279907,z,-1047.2999267578125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:24.138,magInterval,22.1,magXyz,[x,-619.2600098,y,-1562.039917,z,-1046.8199462890625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:24.629,magInterval,22.6,magXyz,[x,-619.5,y,-1562.099976,z,-1047.2999267578125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:24.968,magInterval,23,magXyz,[x,-619.2600098,y,-1562.219971,z,-1047],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:25.346,magInterval,23.3,magXyz,[x,-618.4199829,y,-1562.039917,z,-1047.1199951171875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:25.732,magInterval,23.7,magXyz,[x,-618.3599854,y,-1562.579956,z,-1047.5999755859375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:26.111,magInterval,24.1,magXyz,[x,-619.2600098,y,-1562.76001,z,-1047.2999267578125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:26.562,magInterval,24.5,magXyz,[x,-618.8999634,y,-1562.279907,z,-1047.8399658203125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:26.966,magInterval,25,magXyz,[x,-618.1199951,y,-1562.579956,z,-1047.9000244140625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:27.367,magInterval,25.4,magXyz,[x,-619.1400146,y,-1562.579956,z,-1048.199951171875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:27.716,magInterval,25.7,magXyz,[x,-619.2600098,y,-1561.919922,z,-1047.5999755859375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:28.120,magInterval,26.1,magXyz,[x,-618.7799683,y,-1561.97998,z,-1046.52001953125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:28.489,magInterval,26.5,magXyz,[x,-619.2600098,y,-1562.039917,z,-1047.239990234375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:28.941,magInterval,26.9,magXyz,[x,-619.1400146,y,-1561.97998,z,-1047.5399169921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:29.280,magInterval,27.3,magXyz,[x,-619.7399902,y,-1562.76001,z,-1047.780029296875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:29.846,magInterval,27.8,magXyz,[x,-620.2199707,y,-1562.819946,z,-1047.5999755859375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:30.088,magInterval,28.1,magXyz,[x,-619.5599976,y,-1562.039917,z,-1047.8399658203125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:30.482,magInterval,28.5,magXyz,[x,-619.2600098,y,-1562.159912,z,-1048.1400146484375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:30.887,magInterval,28.9,magXyz,[x,-618.7199707,y,-1562.219971,z,-1047.419921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:31.323,magInterval,29.3,magXyz,[x,-618.0599976,y,-1562.640015,z,-1047.6600341796875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:31.678,magInterval,29.7,magXyz,[x,-618.4199829,y,-1562.640015,z,-1047.419921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:32.079,magInterval,30.1,magXyz,[x,-618.7199707,y,-1562.52002,z,-1047.9599609375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:32.527,magInterval,30.5,magXyz,[x,-618.4199829,y,-1562.579956,z,-1048.199951171875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:32.976,magInterval,31,magXyz,[x,-619.0199585,y,-1562.099976,z,-1047.179931640625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:33.338,magInterval,31.3,magXyz,[x,-619.0799561,y,-1562.219971,z,-1047.0599365234375],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:33.707,magInterval,31.7,magXyz,[x,-618.0599976,y,-1561.919922,z,-1047.419921875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:34.089,magInterval,32.1,magXyz,[x,-618.2399902,y,-1561.439941,z,-1047.1199951171875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:34.588,magInterval,32.6,magXyz,[x,-618.3599854,y,-1561.73999,z,-1046.93994140625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:34.900,magInterval,32.9,magXyz,[x,-618.539978,y,-1562.579956,z,-1046.699951171875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:35.279,magInterval,33.3,magXyz,[x,-618.539978,y,-1562.939941,z,-1047.1199951171875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:35.679,magInterval,33.7,magXyz,[x,-619.0199585,y,-1562.099976,z,-1047.9000244140625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:36.081,magInterval,34.1,magXyz,[x,-619.6199951,y,-1562.219971,z,-1047.179931640625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:36.478,magInterval,34.5,magXyz,[x,-618.8999634,y,-1562.579956,z,-1046.93994140625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:36.964,magInterval,35,magXyz,[x,-618,y,-1562.159912,z,-1047.2999267578125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:37.293,magInterval,35.3,magXyz,[x,-618.3599854,y,-1562.459961,z,-1047.3599853515625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:37.814,magInterval,35.8,magXyz,[x,-618.5999756,y,-1562.579956,z,-1047.9000244140625],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:38.115,magInterval,36.1,magXyz,[x,-618.4199829,y,-1562.76001,z,-1047.6600341796875],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:38.535,magInterval,36.5,magXyz,[x,-618.4199829,y,-1562.579956,z,-1047.2999267578125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:38.918,magInterval,36.9,magXyz,[x,-618.2399902,y,-1562.039917,z,-1047.8399658203125],degree,0,,,,,,,,,,,,,,,,,,,,
magDate,2021-02-24T11:06:39.285,magInterval,37.3,magXyz,[x,-618.0599976,y,-1562.159912,z,-1047.2999267578125],degree,0,,,,,,,,,,,,,,,,,,,,
